NOM_MUNICI;DEPARTAMEN;Codigo_DANE;REGION
BUGALAGRANDE;VALLE DEL CAUCA;76113;Andina
BURITICA;ANTIOQUIA;5113;Andina
BUSBANZA;BOYACA;15114;Andina
CABRERA_CUN;CUNDINAMARCA;25120;Andina
CABRERA_SAN;SANTANDER;68121;Andina
CABUYARO;META;50124;Orinoquia
CACAHUAL (Cor. Departamental);GUAINIA;94886;Amazonia
CACERES;ANTIOQUIA;5120;Andina
CACHIPAY;CUNDINAMARCA;25123;Andina
CACHIRA;NORTE DE SANTANDER;54128;Andina
CACOTA;NORTE DE SANTANDER;54125;Andina
CAICEDO;ANTIOQUIA;5125;Andina
CAICEDONIA;VALLE DEL CAUCA;76122;Andina
CAIMITO;SUCRE;70124;Caribe
CAJAMARCA;TOLIMA;73124;Andina
CAJIBIO;CAUCA;19130;Andina
CAJICA;CUNDINAMARCA;25126;Andina
CALAMAR_BOL;BOLIVAR;13140;Caribe
CALAMAR_GUA;GUAVIARE;95015;Amazonia
CALARCA;QUINDIO;63130;Andina
CALDAS_ANT;ANTIOQUIA;5129;Andina
CALDAS_BOY;BOYACA;15131;Andina
CALDONO;CAUCA;19137;Andina
CALI;VALLE DEL CAUCA;76001;Andina
CALIFORNIA;SANTANDER;68132;Andina
CALIMA (El Darien);VALLE DEL CAUCA;76126;Andina
CALOTO;CAUCA;19142;Andina
CAMPAMENTO;ANTIOQUIA;5134;Andina
CAMPO DE LA CRUZ;ATLANTICO;8137;Caribe
CAMPOALEGRE;HUILA;41132;Andina
CAMPOHERMOSO;BOYACA;15135;Andina
CANALETE;CORDOBA;23090;Caribe
CANASGORDAS;ANTIOQUIA;5138;Andina
CANDELARIA_ATL;ATLANTICO;8141;Caribe
CANDELARIA_VAL;VALLE DEL CAUCA;76130;Andina
CANTAGALLO;BOLIVAR;13160;Caribe
CAPARRAPI;CUNDINAMARCA;25148;Andina
CAPITANEJO;SANTANDER;68147;Andina
CAQUEZA;CUNDINAMARCA;25151;Andina
CARACOLI;ANTIOQUIA;5142;Andina
CARAMANTA;ANTIOQUIA;5145;Andina
CARCASI;SANTANDER;68152;Andina
CAREPA;ANTIOQUIA;5147;Andina
CARMEN DE APICALA;TOLIMA;73148;Andina
CARMEN DE CARUPA;CUNDINAMARCA;25154;Andina
CARMEN DE VIBORAL;ANTIOQUIA;5148;Andina
CARMEN DEL DARIEN  (Curbarado);CHOCO;27150;Andina
CAROLINA;ANTIOQUIA;5150;Andina
CARTAGENA DE INDIAS (Distrito TurIstico y Cultural);BOLIVAR;13001;Caribe
CARTAGENA DEL CHAIRA;CAQUETA;18150;Amazonia
CARTAGO;VALLE DEL CAUCA;76147;Andina
CARURU;VAUPES;97161;Amazonia
CASABIANCA;TOLIMA;73152;Andina
CASTILLA LA NUEVA;META;50150;Orinoquia
CAUCASIA;ANTIOQUIA;5154;Andina
CEPITA;SANTANDER;68160;Andina
CERETE;CORDOBA;23162;Caribe
CERINZA;BOYACA;15162;Andina
CERRITO;SANTANDER;68162;Andina
CERRO DE SAN ANTONIO;MAGDALENA;47161;Caribe
CERTEGUI;CHOCO;27160;Andina
CHACHAGUI;NARINO;52240;Andina
CHAGUANI;CUNDINAMARCA;25168;Andina
CHALAN;SUCRE;70230;Caribe
CHAMEZA;CASANARE;85015;Orinoquia
CHAPARRAL;TOLIMA;73168;Andina
CHARALA;SANTANDER;68167;Andina
CHARTA;SANTANDER;68169;Andina
CHIA;CUNDINAMARCA;25175;Andina
CHIGORODO;ANTIOQUIA;5172;Andina
CHIMA_COR;CORDOBA;23168;Caribe
CHIMA_SAN;SANTANDER;68176;Andina
CHIMICHAGUA;CESAR;20175;Caribe
CHINACOTA;NORTE DE SANTANDER;54172;Andina
CHINAVITA;BOYACA;15172;Andina
CHINCHINA;CALDAS;17174;Andina
CHINU;CORDOBA;23182;Caribe
CHIPAQUE;CUNDINAMARCA;25178;Andina
CHIPATA;SANTANDER;68179;Andina
CHIQUINQUIRA;BOYACA;15176;Andina
CHIQUIZA;BOYACA;15232;Andina
CHIRIGUANA;CESAR;20178;Caribe
CHISCAS;BOYACA;15180;Andina
CHITA;BOYACA;15183;Andina
CHITAGA;NORTE DE SANTANDER;54174;Andina
CHITARAQUE;BOYACA;15185;Andina
CHIVATA;BOYACA;15187;Andina
CHIVOLO;MAGDALENA;47170;Caribe
CHIVOR;BOYACA;15236;Andina
CHOACHI;CUNDINAMARCA;25181;Andina
CHOCONTA;CUNDINAMARCA;25183;Andina
CICUCO;BOLIVAR;13188;Caribe
CIENAGA DE ORO;CORDOBA;23189;Caribe
CIENAGA_MAG;MAGDALENA;47189;Caribe
CIENEGA_BOY;BOYACA;15189;Andina
CIMITARRA;SANTANDER;68190;Andina
CIRCASIA;QUINDIO;63190;Andina
CISNEROS;ANTIOQUIA;5190;Andina
CIUDAD BOLIVAR;ANTIOQUIA;5101;Andina
CLEMENCIA;BOLIVAR;13222;Caribe
COCORNA;ANTIOQUIA;5197;Andina
COELLO;TOLIMA;73200;Andina
COGUA;CUNDINAMARCA;25200;Andina
COLOMBIA;HUILA;41206;Andina
COLON;PUTUMAYO;86219;Amazonia
COLON (Genova);NARINO;52203;Andina
COLOSO;SUCRE;70204;Caribe
COMBITA;BOYACA;15204;Andina
CONCEPCION_ANT;ANTIOQUIA;5206;Andina
CONCEPCION_SAN;SANTANDER;68207;Andina
CONCORDIA_ANT;ANTIOQUIA;5209;Andina
CONCORDIA_MAG;MAGDALENA;47205;Caribe
CONDOTO;CHOCO;27205;Andina
CONFINES;SANTANDER;68209;Andina
CONSACA;NARINO;52207;Andina
CONTADERO;NARINO;52210;Andina
CONTRATACION;SANTANDER;68211;Andina
CONVENCION;NORTE DE SANTANDER;54206;Andina
COPACABANA;ANTIOQUIA;5212;Andina
COPER;BOYACA;15212;Andina
CORDOBA_BOL;BOLIVAR;13212;Caribe
CORDOBA_NAR;NARINO;52215;Andina
CORDOBA_QUI;QUINDIO;63212;Andina
CORINTO;CAUCA;19212;Andina
COROMORO;SANTANDER;68217;Andina
COROZAL;SUCRE;70215;Caribe
CORRALES;BOYACA;15215;Andina
COTA;CUNDINAMARCA;25214;Andina
COTORRA;CORDOBA;23300;Caribe
COVARACHIA;BOYACA;15218;Andina
COVENAS;SUCRE;70221;Caribe
COYAIMA;TOLIMA;73217;Andina
CRAVO NORTE;ARAUCA;81220;Orinoquia
CUASPUD (Carlosama);NARINO;52224;Andina
CUBARA;BOYACA;15223;Andina
CUBARRAL;META;50223;Orinoquia
CUCAITA;BOYACA;15224;Andina
CUCUNUBA;CUNDINAMARCA;25224;Andina
CUCUTA;NORTE DE SANTANDER;54001;Andina
CUCUTILLA;NORTE DE SANTANDER;54223;Andina
CUITIVA;BOYACA;15226;Andina
CUMARAL;META;50226;Orinoquia
CUMARIBO;VICHADA;99773;Orinoquia
CUMBAL;NARINO;52227;Andina
CUMBITARA;NARINO;52233;Andina
CUNDAY;TOLIMA;73226;Andina
CURILLO;CAQUETA;18205;Amazonia
CURITI;SANTANDER;68229;Andina
CURUMANI;CESAR;20228;Caribe
DABEIBA;ANTIOQUIA;5234;Andina
DAGUA;VALLE DEL CAUCA;76233;Andina
DIBULLA;LA GUAJIRA;44090;Caribe
DISTRACCION;LA GUAJIRA;44098;Caribe
DOLORES;TOLIMA;73236;Andina
DON MATIAS;ANTIOQUIA;5237;Andina
DOSQUEBRADAS;RISARALDA;66170;Andina
DUITAMA;BOYACA;15238;Andina
DURANIA;NORTE DE SANTANDER;54239;Andina
EBEJICO;ANTIOQUIA;5240;Andina
EL AGUILA;VALLE DEL CAUCA;76243;Andina
EL BAGRE;ANTIOQUIA;5250;Andina
EL BANCO;MAGDALENA;47245;Caribe
EL CAIRO;VALLE DEL CAUCA;76246;Andina
EL CALVARIO;META;50245;Orinoquia
EL CANTON DEL SAN PABLO;CHOCO;27135;Andina
EL CARMEN DE BOLIVAR;BOLIVAR;13244;Caribe
EL CARMEN_CHO;CHOCO;27245;Andina
EL CARMEN_NOR;NORTE DE SANTANDER;54245;Andina
EL CARMEN_SAN;SANTANDER;68235;Andina
EL CASTILLO;META;50251;Orinoquia
EL CERRITO;VALLE DEL CAUCA;76248;Andina
EL CHARCO;NARINO;52250;Andina
EL COCUY;BOYACA;15244;Andina
EL COLEGIO;CUNDINAMARCA;25245;Andina
EL COPEY;CESAR;20238;Caribe
EL DONCELLO;CAQUETA;18247;Amazonia
EL DORADO;META;50270;Orinoquia
EL DOVIO;VALLE DEL CAUCA;76250;Andina
EL ENCANTO (Cor. Departamental);AMAZONAS;91263;Amazonia
EL ESPINO;BOYACA;15248;Andina
EL GUACAMAYO;SANTANDER;68245;Andina
EL GUAMO;BOLIVAR;13248;Caribe
EL LITORAL DEL SAN JUAN;CHOCO;27250;Andina
EL MOLINO;LA GUAJIRA;44110;Caribe
EL PASO;CESAR;20250;Caribe
EL PAUJIL;CAQUETA;18256;Amazonia
EL PENOL;NARINO;52254;Andina
EL PENON_BOL;BOLIVAR;13268;Caribe
EL PENON_CUN;CUNDINAMARCA;25258;Andina
EL PENON_SAN;SANTANDER;68250;Andina
EL PINON;MAGDALENA;47258;Caribe
EL PLAYON;SANTANDER;68255;Andina
EL RETEN;MAGDALENA;47268;Caribe
EL RETORNO;GUAVIARE;95025;Amazonia
EL ROBLE;SUCRE;70233;Caribe
EL ROSAL;CUNDINAMARCA;25260;Andina
EL ROSARIO;NARINO;52256;Andina
EL TABLON;NARINO;52258;Andina
EL TAMBO_CAU;CAUCA;19256;Andina
EL TAMBO_NAR;NARINO;52260;Andina
EL TARRA;NORTE DE SANTANDER;54250;Andina
EL ZULIA;NORTE DE SANTANDER;54261;Andina
ELIAS;HUILA;41244;Andina
ENCINO;SANTANDER;68264;Andina
ENCISO;SANTANDER;68266;Andina
ENTRERRIOS;ANTIOQUIA;5264;Andina
ENVIGADO;ANTIOQUIA;5266;Andina
ESPINAL;TOLIMA;73268;Andina
FACATATIVA;CUNDINAMARCA;25269;Andina
FALAN;TOLIMA;73270;Andina
FILADELFIA;CALDAS;17272;Andina
FILANDIA;QUINDIO;63272;Andina
FIRAVITOBA;BOYACA;15272;Andina
FLANDES;TOLIMA;73275;Andina
FLORENCIA_CAQ;CAQUETA;18001;Amazonia
FLORENCIA_CAU;CAUCA;19290;Andina
FLORESTA;BOYACA;15276;Andina
FLORIAN;SANTANDER;68271;Andina
FLORIDA;VALLE DEL CAUCA;76275;Andina
FLORIDABLANCA;SANTANDER;68276;Andina
FOMEQUE;CUNDINAMARCA;25279;Andina
FONSECA;LA GUAJIRA;44279;Caribe
FORTUL;ARAUCA;81300;Orinoquia
FOSCA;CUNDINAMARCA;25281;Andina
FRANCISCO PIZARRO (Salahonda);NARINO;52520;Andina
FREDONIA;ANTIOQUIA;5282;Andina
FRESNO;TOLIMA;73283;Andina
FRONTINO;ANTIOQUIA;5284;Andina
FUENTE DE ORO;META;50287;Orinoquia
FUNDACION;MAGDALENA;47288;Caribe
FUNES;NARINO;52287;Andina
FUNZA;CUNDINAMARCA;25286;Andina
FUQUENE;CUNDINAMARCA;25288;Andina
FUSAGASUGA;CUNDINAMARCA;25290;Andina
GACHALA;CUNDINAMARCA;25293;Andina
GACHANCIPA;CUNDINAMARCA;25295;Andina
GACHANTIVA;BOYACA;15293;Andina
GACHETA;CUNDINAMARCA;25297;Andina
GALAN;SANTANDER;68296;Andina
GALAPA;ATLANTICO;8296;Caribe
GALERAS;SUCRE;70235;Caribe
GAMA;CUNDINAMARCA;25299;Andina
GAMARRA;CESAR;20295;Caribe
GAMBITA;SANTANDER;68298;Andina
GAMEZA;BOYACA;15296;Andina
GARAGOA;BOYACA;15299;Andina
GARZON;HUILA;41298;Andina
GENOVA;QUINDIO;63302;Andina
GIGANTE;HUILA;41306;Andina
GINEBRA;VALLE DEL CAUCA;76306;Andina
GIRALDO;ANTIOQUIA;5306;Andina
GIRARDOT;CUNDINAMARCA;25307;Andina
GIRARDOTA;ANTIOQUIA;5308;Andina
GIRON;SANTANDER;68307;Andina
GOMEZ PLATA;ANTIOQUIA;5310;Andina
GONZALEZ;CESAR;20310;Caribe
GRAMALOTE;NORTE DE SANTANDER;54313;Andina
GRANADA_ANT;ANTIOQUIA;5313;Andina
GRANADA_CUN;CUNDINAMARCA;25312;Andina
GRANADA_MET;META;50313;Orinoquia
GUACA;SANTANDER;68318;Andina
GUACAMAYAS;BOYACA;15317;Andina
GUACARI;VALLE DEL CAUCA;76318;Andina
GUACHENE;CAUCA;19300;Andina
GUACHETA;CUNDINAMARCA;25317;Andina
GUACHUCAL;NARINO;52317;Andina
GUADALUPE_ANT;ANTIOQUIA;5315;Andina
GUADALUPE_HUI;HUILA;41319;Andina
GUADALUPE_SAN;SANTANDER;68320;Andina
GUADUAS;CUNDINAMARCA;25320;Andina
GUAITARILLA;NARINO;52320;Andina
GUALMATAN;NARINO;52323;Andina
GUAMAL_MAG;MAGDALENA;47318;Caribe
GUAMAL_MET;META;50318;Orinoquia
GUAMO;TOLIMA;73319;Andina
GUAPI;CAUCA;19318;Andina
GUAPOTA;SANTANDER;68322;Andina
GUARANDA;SUCRE;70265;Caribe
GUARNE;ANTIOQUIA;5318;Andina
GUASCA;CUNDINAMARCA;25322;Andina
GUATAPE;ANTIOQUIA;5321;Andina
GUATAQUI;CUNDINAMARCA;25324;Andina
GUATAVITA;CUNDINAMARCA;25326;Andina
GUATEQUE;BOYACA;15322;Andina
GUATICA;RISARALDA;66318;Andina
GUAVATA;SANTANDER;68324;Andina
GUAYABAL DE SIQUIMA;CUNDINAMARCA;25328;Andina
GUAYABETAL;CUNDINAMARCA;25335;Andina
GUAYATA;BOYACA;15325;Andina
GUEPSA;SANTANDER;68327;Andina
GUICAN;BOYACA;15332;Andina
GUTIERREZ;CUNDINAMARCA;25339;Andina
HACARI;NORTE DE SANTANDER;54344;Andina
HATILLO DE LOBA;BOLIVAR;13300;Caribe
HATO;SANTANDER;68344;Andina
HATO COROZAL;CASANARE;85125;Orinoquia
HATO NUEVO;LA GUAJIRA;44378;Caribe
HELICONIA;ANTIOQUIA;5347;Andina
HERRAN;NORTE DE SANTANDER;54347;Andina
HERVEO;TOLIMA;73347;Andina
HISPANIA;ANTIOQUIA;5353;Andina
HOBO;HUILA;41349;Andina
HONDA;TOLIMA;73349;Andina
IBAGUE;TOLIMA;73001;Andina
ICONONZO;TOLIMA;73352;Andina
ILES;NARINO;52352;Andina
IMUES;NARINO;52354;Andina
INIRIDA;GUAINIA;94001;Amazonia
INZA;CAUCA;19355;Andina
IPIALES;NARINO;52356;Andina
IQUIRA;HUILA;41357;Andina
ISNOS;HUILA;41359;Andina
ISTMINA;CHOCO;27361;Andina
ITAGUI;ANTIOQUIA;5360;Andina
ITUANGO;ANTIOQUIA;5361;Andina
IZA;BOYACA;15362;Andina
JAMBALO;CAUCA;19364;Andina
JAMUNDI;VALLE DEL CAUCA;76364;Andina
JARDIN;ANTIOQUIA;5364;Andina
JENESANO;BOYACA;15367;Andina
JERICO_ANT;ANTIOQUIA;5368;Andina
JERICO_BOY;BOYACA;15368;Andina
JERUSALEN;CUNDINAMARCA;25368;Andina
JESUS MARIA;SANTANDER;68368;Andina
JORDAN;SANTANDER;68370;Andina
JUAN DE ACOSTA;ATLANTICO;8372;Caribe
JUNIN;CUNDINAMARCA;25372;Andina
JURADO;CHOCO;27372;Andina
LA APARTADA;CORDOBA;23350;Caribe
LA ARGENTINA;HUILA;41378;Andina
LA BELLEZA;SANTANDER;68377;Andina
LA CALERA;CUNDINAMARCA;25377;Andina
LA CAPILLA;BOYACA;15380;Andina
LA CEJA;ANTIOQUIA;5376;Andina
LA CELIA;RISARALDA;66383;Andina
LA CHORRERA (Cor. Departamental);AMAZONAS;91405;Amazonia
LA CRUZ;NARINO;52378;Andina
LA CUMBRE;VALLE DEL CAUCA;76377;Andina
LA DORADA;CALDAS;17380;Andina
LA ESPERANZA;NORTE DE SANTANDER;54385;Andina
LA ESTRELLA;ANTIOQUIA;5380;Andina
LA FLORIDA;NARINO;52381;Andina
LA GLORIA;CESAR;20383;Caribe
LA GUADALUPE (Cor. Departamental);GUAINIA;94885;Amazonia
LA JAGUA DE IBIRICO;CESAR;20400;Caribe
LA JAGUA DEL PILAR;LA GUAJIRA;44420;Caribe
LA LLANADA;NARINO;52385;Andina
LA MACARENA;META;50350;Orinoquia
LA MERCED;CALDAS;17388;Andina
LA MESA;CUNDINAMARCA;25386;Andina
LA PALMA;CUNDINAMARCA;25394;Andina
LA PAZ_CES;CESAR;20621;Caribe
LA PAZ_SAN;SANTANDER;68397;Andina
LA PEDRERA (Cor. Departamental);AMAZONAS;91407;Amazonia
LA PENA;CUNDINAMARCA;25398;Andina
LA PINTADA;ANTIOQUIA;5390;Andina
LA PLATA;HUILA;41396;Andina
LA PLAYA;NORTE DE SANTANDER;54398;Andina
LA PRIMAVERA;VICHADA;99524;Orinoquia
LA SALINA;CASANARE;85136;Orinoquia
LA SIERRA;CAUCA;19392;Andina
LA TEBAIDA;QUINDIO;63401;Andina
LA TOLA;NARINO;52390;Andina
LA UNION_ANT;ANTIOQUIA;5400;Andina
LA UNION_NAR;NARINO;52399;Andina
LA UNION_SUC;SUCRE;70400;Caribe
LA UNION_VAL;VALLE DEL CAUCA;76400;Andina
LA UVITA;BOYACA;15403;Andina
LA VEGA_CAU;CAUCA;19397;Andina
LA VEGA_CUN;CUNDINAMARCA;25402;Andina
LA VICTORIA (Pacoa) (Cor. Departamental);AMAZONAS;91430;Amazonia
LA VICTORIA_BOY;BOYACA;15401;Andina
LA VICTORIA_VAL;VALLE DEL CAUCA;76403;Andina
LA VIRGINIA;RISARALDA;66400;Andina
LABATECA;NORTE DE SANTANDER;54377;Andina
LABRANZAGRANDE;BOYACA;15377;Andina
LANDAZURI;SANTANDER;68385;Andina
LEBRIJA;SANTANDER;68406;Andina
LEIVA;NARINO;52405;Andina
LEJANIAS;META;50400;Orinoquia
LENGUAZAQUE;CUNDINAMARCA;25407;Andina
LERIDA;TOLIMA;73408;Andina
LETICIA;AMAZONAS;91001;Amazonia
LIBANO;TOLIMA;73411;Andina
LIBORINA;ANTIOQUIA;5411;Andina
LINARES;NARINO;52411;Andina
LLORO;CHOCO;27413;Andina
LOPEZ;CAUCA;19418;Andina
LORICA;CORDOBA;23417;Caribe
LOS ANDES (Sotomayor);NARINO;52418;Andina
LOS CORDOBAS;CORDOBA;23419;Caribe
LOS PALMITOS;SUCRE;70418;Caribe
LOS PATIOS;NORTE DE SANTANDER;54405;Andina
LOS SANTOS;SANTANDER;68418;Andina
LOURDES;NORTE DE SANTANDER;54418;Andina
LURUACO;ATLANTICO;8421;Caribe
MACANAL;BOYACA;15425;Andina
MACARAVITA;SANTANDER;68425;Andina
MACEO;ANTIOQUIA;5425;Andina
MACHETA;CUNDINAMARCA;25426;Andina
MADRID;CUNDINAMARCA;25430;Andina
MAGANGUE;BOLIVAR;13430;Caribe
MAGUI (Payan);NARINO;52427;Andina
MAHATES;BOLIVAR;13433;Caribe
MAICAO;LA GUAJIRA;44430;Caribe
MAJAGUAL;SUCRE;70429;Caribe
MALAGA;SANTANDER;68432;Andina
MALAMBO;ATLANTICO;8433;Caribe
MALLAMA (Piedrancha);NARINO;52435;Andina
MANATI;ATLANTICO;8436;Caribe
MANAURE;LA GUAJIRA;44560;Caribe
MANAURE BALCON DEL CESAR;CESAR;20443;Caribe
MANI;CASANARE;85139;Orinoquia
MANIZALES;CALDAS;17001;Andina
MANTA;CUNDINAMARCA;25436;Andina
MANZANARES;CALDAS;17433;Andina
MAPIRIPAN;META;50325;Orinoquia
MAPIRIPANA (Cor. Departamental);GUAINIA;94663;Amazonia
MARGARITA;BOLIVAR;13440;Caribe
MARIA LA BAJA;BOLIVAR;13442;Caribe
MARINILLA;ANTIOQUIA;5440;Andina
MARIPI;BOYACA;15442;Andina
MARIQUITA;TOLIMA;73443;Andina
MARMATO;CALDAS;17442;Andina
MARQUETALIA;CALDAS;17444;Andina
MARSELLA;RISARALDA;66440;Andina
MARULANDA;CALDAS;17446;Andina
MATANZA;SANTANDER;68444;Andina
MEDELLIN;ANTIOQUIA;5001;Andina
MEDINA;CUNDINAMARCA;25438;Andina
MEDIO ATRATO (Bete);CHOCO;27425;Andina
MEDIO BAUDO (Boca de Pepe);CHOCO;27430;Andina
MEDIO SAN JUAN (Andagoya);CHOCO;27450;Andina
MELGAR;TOLIMA;73449;Andina
MERCADERES;CAUCA;19450;Andina
